source,date,total_spend,total_impressions,total_clicks,total_installs,total_registrations
google,2024-04-02,7415.81,185394,1482,547,525
google,2024-04-03,7501.09,187526,1498,554,531
google,2024-04-04,7605.73,190143,1520,561,538
google,2024-04-05,7661.68,191541,1531,565,542
google,2024-04-06,7776.66,194415,1554,574,550
google,2024-04-07,7866.09,196651,1572,581,557
google,2024-04-08,8011.84,200295,1601,591,567
google,2024-04-09,8082.86,202069,1615,597,573
google,2024-04-10,8135.03,203374,1625,601,576
google,2024-04-11,8229.57,205738,1645,607,583
google,2024-04-12,8316.09,207901,1662,614,589
google,2024-04-13,8370.28,209255,1673,618,593
google,2024-04-14,8408.11,210201,1680,621,595
google,2024-04-15,8434.58,210862,1686,623,597
google,2024-04-16,8465.03,211625,1691,625,599
google,2024-04-17,8554.07,213851,1709,632,606
google,2024-04-18,8595.43,214885,1717,634,608
google,2024-04-19,8621.65,215540,1722,637,611
google,2024-04-20,8718.12,217952,1742,644,617
google,2024-04-21,8807.99,220198,1760,650,624
google,2024-04-22,8879.19,221978,1774,655,629
google,2024-04-23,8996.56,224913,1797,664,637
google,2024-04-24,9092.58,227313,1817,671,644
google,2024-04-25,9139.36,228483,1826,675,647
google,2024-04-26,9204.84,230119,1839,679,652
google,2024-04-27,9329.48,233235,1864,689,661
google,2024-04-28,9394.94,234872,1878,694,666
google,2024-04-29,9472.21,236804,1893,700,672
google,2024-04-30,9544.94,238623,1907,705,676
google,2024-05-01,9589.49,239736,1916,708,679
google,2024-05-02,9625.83,240645,1924,711,682
google,2024-05-03,9692.8,242318,1936,715,686
google,2024-05-04,9745.35,243632,1947,720,691
google,2024-05-05,9815.15,245378,1962,725,695
google,2024-05-06,9900.72,247517,1979,731,702
google,2024-05-07,10017.15,250428,2003,740,710
google,2024-05-08,10082.1,252051,2015,745,714
google,2024-05-09,10186.33,254657,2036,752,722
google,2024-05-10,10251.94,256297,2048,757,726
google,2024-05-11,10292.54,257312,2058,760,729
google,2024-05-12,10337.09,258426,2066,763,732
google,2024-05-13,10439.41,260984,2086,770,740
google,2024-05-14,10515.15,262877,2101,776,746
google,2024-05-15,10565.88,264146,2112,781,749
google,2024-05-16,10647.45,266185,2128,786,754
google,2024-05-17,10700.01,267499,2139,790,758
google,2024-05-18,10768.65,269215,2153,795,763
google,2024-05-19,10824.27,270605,2164,800,767
google,2024-05-20,10919.24,272979,2182,807,774
google,2024-05-21,10983.41,274584,2195,811,779
google,2024-05-22,11122.9,278071,2222,821,788
google,2024-05-23,11204.29,280106,2239,827,794
google,2024-05-24,11319.11,282976,2262,837,801
google,2024-05-25,11460.36,286507,2290,847,812
google,2024-05-26,11560.17,289003,2311,854,819
google,2024-05-27,11651.79,291293,2328,861,826
google,2024-05-28,11768.38,294208,2352,869,834
google,2024-05-29,11821.83,295544,2363,874,838
google,2024-05-30,11972.16,299302,2392,885,849
google,2024-05-31,12012.7,300315,2401,887,851
google,2024-06-01,12057.08,301425,2410,891,855
google,2024-06-02,12103.67,302590,2419,894,858
google,2024-06-03,12169.28,304230,2433,898,862
google,2024-06-04,12292.24,307304,2457,908,871
google,2024-06-05,12360.19,309003,2470,913,877
google,2024-06-06,12404.47,310111,2479,916,879
google,2024-06-07,12556.74,313916,2509,928,890
google,2024-06-08,12720.12,318001,2543,939,902
google,2024-06-09,12808.02,320199,2561,947,908
google,2024-06-10,12849.93,321247,2569,949,911
google,2024-06-11,12920.05,323000,2583,955,916
google,2024-06-12,12950.73,323766,2589,957,918
google,2024-06-13,13049.77,326243,2609,965,924
google,2024-06-14,13141.84,328545,2626,972,931
google,2024-06-15,13225.03,330624,2644,977,938
google,2024-06-16,13285.11,332127,2655,982,942
google,2024-06-17,13397.57,334938,2678,991,950
google,2024-06-18,13508.5,337711,2700,998,957
google,2024-06-19,13570.67,339265,2712,1002,962
google,2024-06-20,13601.93,340047,2719,1005,964
google,2024-06-21,13730.97,343273,2744,1015,973
google,2024-06-22,13818.07,345451,2762,1022,980
google,2024-06-23,13867.04,346675,2773,1024,982
google,2024-06-24,13922.91,348071,2783,1029,988
google,2024-06-25,13998.04,349950,2798,1034,993
google,2024-06-26,14104.6,352613,2820,1042,1000
google,2024-06-27,14156.28,353905,2830,1046,1003
google,2024-06-28,14195.15,354878,2838,1048,1006
google,2024-06-29,14244.61,356113,2847,1053,1010
google,2024-06-30,14293.15,357327,2857,1056,1013
google,2024-07-01,14348.7,358716,2868,1060,1017
google,2024-07-02,14415.52,360387,2882,1065,1022
google,2024-07-03,14476.05,361900,2893,1070,1026
google,2024-07-04,14493.21,362328,2897,1071,1027
google,2024-07-05,14546.17,363653,2908,1075,1032
google,2024-07-06,14586.35,364657,2916,1079,1034
google,2024-07-07,14650.43,366258,2928,1082,1039
google,2024-07-08,14702.5,367561,2939,1086,1043
google,2024-07-09,14780.27,369505,2955,1092,1049
google,2024-07-10,14798.2,369953,2958,1093,1049
google,2024-07-11,14824.94,370622,2964,1095,1051
google,2024-07-12,14925.75,373142,2984,1103,1058
google,2024-07-13,14979.06,374475,2994,1107,1062
google,2024-07-14,15000,374998,2998,1108,1063
meta,2024-01-02,229.8,16412,195,77,72
meta,2024-01-03,707.16,50508,604,240,225
meta,2024-01-04,1094.41,78170,935,373,350
meta,2024-01-05,1370.37,97881,1172,468,440
meta,2024-01-06,1567.62,111972,1341,535,502
meta,2024-01-07,1804.21,128871,1544,616,579
meta,2024-01-08,1974.55,141038,1690,675,635
meta,2024-01-09,2086.4,149027,1786,713,670
meta,2024-01-10,2491.23,177943,2134,851,800
meta,2024-01-11,2831.83,202272,2425,969,911
meta,2024-01-12,3025.45,216102,2591,1036,973
meta,2024-01-13,3414.83,243915,2924,1168,1099
meta,2024-01-14,3779.08,269931,3237,1293,1215
meta,2024-01-15,4157.85,296987,3561,1423,1338
meta,2024-01-16,4513.01,322357,3866,1546,1452
meta,2024-01-17,4779.96,341424,4095,1636,1538
meta,2024-01-18,5076.14,362579,4349,1738,1634
meta,2024-01-19,5441.08,388647,4661,1864,1750
meta,2024-01-20,5655.78,403983,4845,1937,1820
meta,2024-01-21,5928.48,423461,5080,2031,1909
meta,2024-01-22,6340.43,452886,5433,2172,2040
meta,2024-01-23,6623.58,473111,5676,2268,2131
meta,2024-01-24,6776.86,484059,5807,2321,2181
meta,2024-01-25,6905.15,493223,5917,2365,2223
meta,2024-01-26,7025.53,501821,6021,2407,2261
meta,2024-01-27,7071.65,505116,6060,2423,2276
meta,2024-01-28,7335.69,523975,6285,2513,2361
meta,2024-01-29,7550.85,539344,6469,2586,2430
meta,2024-01-30,7745.33,553236,6637,2653,2493
meta,2024-01-31,7906.87,564775,6775,2709,2545
meta,2024-02-01,8127.88,580560,6964,2784,2616
meta,2024-02-02,8344.55,596038,7150,2858,2686
meta,2024-02-03,8597.42,614100,7367,2945,2768
meta,2024-02-04,8871.3,633662,7602,3038,2855
meta,2024-02-05,9109.02,650643,7805,3120,2933
meta,2024-02-06,9236.5,659748,7914,3164,2974
meta,2024-02-07,9632.66,688046,8254,3300,3101
meta,2024-02-08,9832.07,702288,8426,3369,3165
meta,2024-02-09,10101.93,721565,8657,3460,3253
meta,2024-02-10,10291.66,735117,8819,3527,3313
meta,2024-02-11,10503.11,750220,9001,3598,3381
meta,2024-02-12,10931.38,780811,9368,3745,3519
meta,2024-02-13,11261.88,804418,9650,3859,3627
meta,2024-02-14,11531.96,823710,9882,3951,3713
meta,2024-02-15,11802.28,843018,10115,4044,3800
meta,2024-02-16,12050.95,860780,10327,4129,3881
meta,2024-02-17,12234.27,873874,10484,4192,3940
meta,2024-02-18,12465.81,890413,10682,4272,4013
meta,2024-02-19,12779.89,912848,10953,4380,4115
meta,2024-02-20,12963.72,925979,11111,4442,4175
meta,2024-02-21,13377.68,955546,11465,4583,4308
meta,2024-02-22,13623.28,973090,11675,4668,4387
meta,2024-02-23,13860.68,990047,11878,4748,4464
meta,2024-02-24,14305.2,1021798,12260,4901,4606
meta,2024-02-25,14454.04,1032429,12387,4953,4654
meta,2024-02-26,14836.46,1059744,12714,5084,4779
meta,2024-02-27,15199.76,1085695,13026,5208,4895
meta,2024-02-28,15416.06,1101144,13211,5283,4964
meta,2024-02-29,15588.4,1113454,13359,5342,5020
meta,2024-03-01,15711.37,1122238,13465,5383,5060
meta,2024-03-02,15951.9,1139420,13670,5466,5137
meta,2024-03-03,16307.03,1164786,13975,5589,5251
meta,2024-03-04,16516.13,1179721,14154,5661,5319
meta,2024-03-05,17000.45,1214315,14569,5825,5475
meta,2024-03-06,17358.62,1239899,14876,5949,5590
meta,2024-03-07,17825.07,1273217,15276,6108,5740
meta,2024-03-08,18149.78,1296410,15556,6219,5845
meta,2024-03-09,18463.4,1318812,15824,6327,5947
meta,2024-03-10,18719.63,1337114,16043,6416,6029
meta,2024-03-11,18957.67,1354116,16248,6498,6105
meta,2024-03-12,19220.61,1372899,16472,6587,6190
meta,2024-03-13,19393.6,1385254,16622,6645,6246
meta,2024-03-14,19581.7,1398691,16782,6710,6306
meta,2024-03-15,19875.18,1419654,17034,6812,6400
meta,2024-03-16,20261.86,1447274,17365,6944,6526
meta,2024-03-17,20603.65,1471687,17657,7060,6636
meta,2024-03-18,20697.33,1478378,17738,7093,6666
meta,2024-03-19,20938.82,1495628,17945,7177,6744
meta,2024-03-20,21115.61,1508256,18096,7236,6800
meta,2024-03-21,21488.53,1534893,18416,7364,6921
meta,2024-03-22,21815.7,1558262,18696,7476,7026
meta,2024-03-23,22146.55,1581893,18980,7590,7132
meta,2024-03-24,22336.53,1595464,19143,7655,7194
meta,2024-03-25,22497,1606926,19280,7710,7245
meta,2024-03-26,22696.32,1621163,19451,7778,7309
meta,2024-03-27,22847.89,1631989,19581,7830,7359
meta,2024-03-28,23108.65,1650615,19804,7920,7443
meta,2024-03-29,23450.1,1675005,20098,8036,7552
meta,2024-03-30,23696.12,1692577,20309,8121,7632
meta,2024-03-31,23863.5,1704533,20452,8179,7686
meta,2024-04-01,24182.41,1727312,20725,8288,7788
meta,2024-04-02,24363.21,1740228,20880,8349,7846
meta,2024-04-03,24560.69,1754333,21049,8418,7911
meta,2024-04-04,24836.2,1774012,21286,8511,7999
meta,2024-04-05,25091.61,1792255,21504,8598,8082
meta,2024-04-06,25326.55,1809037,21706,8679,8157
meta,2024-04-07,25512.63,1822329,21866,8744,8216
meta,2024-04-08,25785.7,1841833,22100,8837,8305
meta,2024-04-09,25967.77,1854838,22256,8899,8364
meta,2024-04-10,26218.62,1872758,22470,8986,8445
meta,2024-04-11,26442.81,1888770,22663,9063,8516
meta,2024-04-12,26658.97,1904211,22848,9137,8587
meta,2024-04-13,26967.87,1926274,23113,9242,8686
meta,2024-04-14,27167.19,1940512,23284,9311,8750
meta,2024-04-15,27312.92,1950921,23408,9360,8798
meta,2024-04-16,27739.54,1981393,23775,9508,8935
meta,2024-04-17,27947.64,1996258,23953,9578,9002
meta,2024-04-18,28301.06,2021503,24255,9700,9116
meta,2024-04-19,28502.96,2035925,24429,9769,9180
meta,2024-04-20,28688.85,2049201,24587,9832,9240
meta,2024-04-21,28863.33,2061664,24737,9893,9296
meta,2024-04-22,29112.45,2079459,24951,9978,9377
meta,2024-04-23,29333.79,2095268,25140,10054,9448
meta,2024-04-24,29561.5,2111534,25336,10132,9521
meta,2024-04-25,29845.07,2131789,25580,10228,9612
meta,2024-04-26,30113.8,2150983,25809,10322,9699
meta,2024-04-27,30437.26,2174088,26085,10432,9804
meta,2024-04-28,30712.52,2193749,26322,10527,9892
meta,2024-04-29,30951.29,2210805,26527,10608,9969
meta,2024-04-30,31413.05,2243786,26923,10766,10118
meta,2024-05-01,31695.53,2263964,27164,10863,10210
meta,2024-05-02,31953.72,2282406,27386,10951,10293
meta,2024-05-03,32072.24,2290872,27487,10991,10330
meta,2024-05-04,32269.86,2304987,27658,11061,10394
meta,2024-05-05,32608.42,2329170,27947,11176,10502
meta,2024-05-06,32958.52,2354178,28248,11296,10616
meta,2024-05-07,33159.71,2368549,28419,11365,10681
meta,2024-05-08,33390.2,2385012,28617,11445,10755
meta,2024-05-09,33665.97,2404710,28854,11539,10844
meta,2024-05-10,33928.28,2423446,29079,11628,10929
meta,2024-05-11,34136.08,2438288,29257,11700,10995
meta,2024-05-12,34402.66,2457330,29486,11792,11081
meta,2024-05-13,34669.72,2476407,29713,11883,11167
meta,2024-05-14,34937.73,2495550,29944,11975,11253
meta,2024-05-15,35346.29,2524733,30294,12114,11385
meta,2024-05-16,35680.1,2548576,30580,12229,11493
meta,2024-05-17,35848.45,2560601,30724,12287,11547
meta,2024-05-18,36257.41,2589812,31075,12427,11678
meta,2024-05-19,36472.75,2605193,31260,12502,11749
meta,2024-05-20,36654.81,2618198,31415,12564,11806
meta,2024-05-21,36851.75,2632265,31585,12631,11870
meta,2024-05-22,37025.73,2644692,31733,12691,11927
meta,2024-05-23,37257.43,2661243,31932,12770,12001
meta,2024-05-24,37527.12,2680506,32163,12863,12088
meta,2024-05-25,37937.18,2709796,32514,13003,12220
meta,2024-05-26,38285.99,2734712,32813,13122,12333
meta,2024-05-27,38386.23,2741872,32900,13157,12364
meta,2024-05-28,38561.27,2754375,33050,13217,12421
meta,2024-05-29,38868.57,2776324,33313,13323,12521
meta,2024-05-30,39171.97,2797996,33573,13426,12618
meta,2024-05-31,39358.52,2811321,33733,13490,12677
meta,2024-06-01,39494.83,2821056,33850,13536,12721
meta,2024-06-02,39850.28,2846446,34154,13658,12836
meta,2024-06-03,40071.96,2862280,34344,13735,12907
meta,2024-06-04,40393.11,2885219,34620,13844,13011
meta,2024-06-05,40774.05,2912429,34947,13976,13133
meta,2024-06-06,40914.39,2922453,35067,14025,13179
meta,2024-06-07,41180.83,2941485,35294,14114,13265
meta,2024-06-08,41451.09,2960789,35527,14207,13352
meta,2024-06-09,41668.66,2976331,35713,14282,13422
meta,2024-06-10,41849.6,2989256,35868,14343,13480
meta,2024-06-11,42071.65,3005115,36059,14421,13552
meta,2024-06-12,42258.7,3018476,36219,14484,13613
meta,2024-06-13,42393.77,3028124,36335,14530,13655
meta,2024-06-14,42692.32,3049449,36590,14632,13752
meta,2024-06-15,42808.45,3057744,36690,14673,13789
meta,2024-06-16,43104.62,3078899,36944,14775,13884
meta,2024-06-17,43362.45,3097315,37164,14863,13968
meta,2024-06-18,43495,3106783,37279,14907,14010
meta,2024-06-19,43687.34,3120522,37444,14974,14073
meta,2024-06-20,43803.03,3128786,37542,15013,14109
meta,2024-06-21,44043.08,3145931,37748,15095,14188
meta,2024-06-22,44334.39,3166740,37998,15196,14281
meta,2024-06-23,44511.04,3179358,38149,15257,14338
meta,2024-06-24,44652.44,3189458,38270,15305,14384
meta,2024-06-25,44801.79,3200124,38399,15356,14431
meta,2024-06-26,45117.55,3222680,38668,15465,14532
meta,2024-06-27,45465.67,3247546,38967,15583,14646
meta,2024-06-28,45903.09,3278789,39343,15733,14786
meta,2024-06-29,46193.7,3299547,39592,15834,14881
meta,2024-06-30,46347.48,3310533,39723,15886,14929
meta,2024-07-01,46615.72,3329691,39953,15978,15016
meta,2024-07-02,46957.73,3354120,40246,16095,15125
meta,2024-07-03,47216.32,3372592,40467,16184,15209
meta,2024-07-04,47506.98,3393353,40717,16284,15303
meta,2024-07-05,47720.12,3408576,40900,16357,15372
meta,2024-07-06,47901.79,3421555,41056,16419,15431
meta,2024-07-07,48085.97,3434710,41213,16482,15490
meta,2024-07-08,48519.13,3465649,41584,16630,15629
meta,2024-07-09,48821.22,3487227,41844,16733,15727
meta,2024-07-10,49065.88,3504704,42053,16817,15805
meta,2024-07-11,49377.61,3526970,42321,16924,15906
meta,2024-07-12,49549.88,3539274,42468,16984,15960
meta,2024-07-13,49707.12,3550507,42602,17037,16011
meta,2024-07-14,50000,3571424,42852,17136,16104
tiktok,2024-01-02,84.27,3828,56,17,14
tiktok,2024-01-03,140.07,6365,95,28,25
tiktok,2024-01-04,184.58,8389,125,38,33
tiktok,2024-01-05,257.68,11711,175,53,46
tiktok,2024-01-06,348.49,15839,235,72,63
tiktok,2024-01-07,415.07,18865,281,86,75
tiktok,2024-01-08,470.66,21391,319,98,86
tiktok,2024-01-09,552.72,25122,375,116,101
tiktok,2024-01-10,615.44,27974,417,128,113
tiktok,2024-01-11,645.9,29357,438,135,118
tiktok,2024-01-12,698.94,31769,475,145,129
tiktok,2024-01-13,771.77,35078,526,162,142
tiktok,2024-01-14,860.14,39096,586,181,158
tiktok,2024-01-15,941.48,42793,640,197,173
tiktok,2024-01-16,976.61,44390,664,205,180
tiktok,2024-01-17,1059.16,48143,721,223,195
tiktok,2024-01-18,1084.61,49299,738,227,201
tiktok,2024-01-19,1182.46,53746,804,248,218
tiktok,2024-01-20,1245.75,56623,848,261,230
tiktok,2024-01-21,1307.15,59415,890,275,241
tiktok,2024-01-22,1389.52,63158,945,292,257
tiktok,2024-01-23,1441.46,65519,981,304,267
tiktok,2024-01-24,1504.47,68382,1024,316,278
tiktok,2024-01-25,1614.37,73378,1099,340,298
tiktok,2024-01-26,1685,76589,1148,355,312
tiktok,2024-01-27,1810.11,82275,1232,380,335
tiktok,2024-01-28,1853.45,84246,1263,390,342
tiktok,2024-01-29,1882.69,85575,1282,396,347
tiktok,2024-01-30,1935.1,87957,1318,407,358
tiktok,2024-01-31,2015.67,91619,1373,424,372
tiktok,2024-02-01,2155.31,97966,1468,454,398
tiktok,2024-02-02,2209.75,100441,1505,465,409
tiktok,2024-02-03,2277.63,103527,1552,480,421
tiktok,2024-02-04,2357.5,107157,1606,497,437
tiktok,2024-02-05,2473.02,112408,1685,521,458
tiktok,2024-02-06,2568.04,116727,1750,541,475
tiktok,2024-02-07,2622.93,119222,1787,552,486
tiktok,2024-02-08,2703.8,122899,1842,570,501
tiktok,2024-02-09,2750.23,125009,1874,579,509
tiktok,2024-02-10,2823.71,128348,1924,595,522
tiktok,2024-02-11,2891.9,131448,1970,609,535
tiktok,2024-02-12,3009.24,136783,2050,634,558
tiktok,2024-02-13,3081.56,140069,2100,649,570
tiktok,2024-02-14,3151.41,143244,2148,664,585
tiktok,2024-02-15,3208.6,145843,2186,676,595
tiktok,2024-02-16,3321.78,150988,2264,700,616
tiktok,2024-02-17,3394.19,154280,2313,715,629
tiktok,2024-02-18,3473.15,157868,2366,733,644
tiktok,2024-02-19,3570.53,162295,2433,753,661
tiktok,2024-02-20,3685.58,167524,2511,776,683
tiktok,2024-02-21,3807.97,173088,2595,803,705
tiktok,2024-02-22,3901.32,177331,2658,823,724
tiktok,2024-02-23,4008.19,182189,2732,845,744
tiktok,2024-02-24,4093.45,186064,2789,863,760
tiktok,2024-02-25,4180.53,190022,2849,882,775
tiktok,2024-02-26,4257.91,193538,2902,898,790
tiktok,2024-02-27,4314.28,196102,2940,909,800
tiktok,2024-02-28,4398.58,199934,2998,928,816
tiktok,2024-02-29,4524.14,205641,3083,954,839
tiktok,2024-03-01,4584.66,208392,3125,967,850
tiktok,2024-03-02,4622.09,210093,3150,975,857
tiktok,2024-03-03,4681.98,212816,3191,987,869
tiktok,2024-03-04,4710.69,214120,3211,994,873
tiktok,2024-03-05,4801.93,218267,3272,1013,890
tiktok,2024-03-06,4876.17,221642,3323,1029,904
tiktok,2024-03-07,4939.15,224504,3367,1042,916
tiktok,2024-03-08,5001.88,227356,3410,1055,927
tiktok,2024-03-09,5078.12,230821,3461,1071,942
tiktok,2024-03-10,5128.8,233125,3495,1082,952
tiktok,2024-03-11,5249.32,238603,3577,1106,974
tiktok,2024-03-12,5335.27,242510,3636,1125,989
tiktok,2024-03-13,5379.9,244539,3667,1134,998
tiktok,2024-03-14,5553.68,252438,3785,1172,1030
tiktok,2024-03-15,5636.15,256186,3841,1189,1047
tiktok,2024-03-16,5727.2,260324,3903,1208,1063
tiktok,2024-03-17,5796.37,263469,3951,1223,1075
tiktok,2024-03-18,5846.87,265765,3985,1234,1084
tiktok,2024-03-19,5920.91,269129,4036,1250,1098
tiktok,2024-03-20,5952.78,270579,4057,1256,1105
tiktok,2024-03-21,6040.79,274578,4117,1273,1121
tiktok,2024-03-22,6069.39,275878,4137,1279,1126
tiktok,2024-03-23,6235.1,283412,4250,1316,1157
tiktok,2024-03-24,6293.32,286058,4289,1328,1169
tiktok,2024-03-25,6353.46,288791,4331,1340,1180
tiktok,2024-03-26,6419.26,291782,4374,1355,1191
tiktok,2024-03-27,6445.89,292993,4394,1360,1196
tiktok,2024-03-28,6481.44,294609,4417,1368,1203
tiktok,2024-03-29,6536,297088,4455,1379,1213
tiktok,2024-03-30,6615.01,300680,4509,1396,1227
tiktok,2024-03-31,6677.56,303523,4551,1408,1239
tiktok,2024-04-01,6800.07,309091,4635,1435,1262
tiktok,2024-04-02,6890.1,313184,4696,1454,1279
tiktok,2024-04-03,6954.46,316110,4740,1467,1290
tiktok,2024-04-04,7002.07,318273,4773,1477,1299
tiktok,2024-04-05,7050.38,320469,4805,1487,1309
tiktok,2024-04-06,7092.56,322386,4834,1497,1316
tiktok,2024-04-07,7249.15,329503,4941,1529,1346
tiktok,2024-04-08,7337.47,333519,5001,1548,1361
tiktok,2024-04-09,7391.67,335983,5038,1560,1372
tiktok,2024-04-10,7454.33,338830,5081,1573,1383
tiktok,2024-04-11,7542.77,342851,5142,1592,1400
tiktok,2024-04-12,7650.52,347748,5214,1614,1420
tiktok,2024-04-13,7742.98,351952,5277,1634,1436
tiktok,2024-04-14,7784.28,353828,5305,1643,1445
tiktok,2024-04-15,7829.1,355865,5337,1652,1453
tiktok,2024-04-16,7895.41,358880,5382,1666,1465
tiktok,2024-04-17,7980.28,362737,5439,1684,1481
tiktok,2024-04-18,8077.1,367138,5505,1705,1499
tiktok,2024-04-19,8157.72,370803,5560,1722,1514
tiktok,2024-04-20,8200.16,372732,5590,1730,1522
tiktok,2024-04-21,8305.3,377511,5661,1753,1541
tiktok,2024-04-22,8353.29,379692,5694,1762,1551
tiktok,2024-04-23,8417.94,382632,5737,1777,1562
tiktok,2024-04-24,8580.35,390012,5849,1811,1593
tiktok,2024-04-25,8627.79,392169,5881,1821,1601
tiktok,2024-04-26,8693.85,395172,5926,1834,1614
tiktok,2024-04-27,8792.65,399663,5993,1855,1632
tiktok,2024-04-28,8872.19,403278,6047,1872,1647
tiktok,2024-04-29,8954.37,407013,6104,1890,1662
tiktok,2024-04-30,9029.39,410424,6155,1906,1676
tiktok,2024-05-01,9124.84,414763,6220,1926,1695
tiktok,2024-05-02,9233.01,419679,6294,1949,1714
tiktok,2024-05-03,9306.47,423019,6343,1965,1727
tiktok,2024-05-04,9360.42,425471,6380,1976,1737
tiktok,2024-05-05,9441.21,429143,6436,1992,1753
tiktok,2024-05-06,9535.33,433420,6499,2012,1770
tiktok,2024-05-07,9600.46,436381,6544,2026,1783
tiktok,2024-05-08,9683.07,440136,6600,2043,1798
tiktok,2024-05-09,9750.9,443220,6647,2058,1811
tiktok,2024-05-10,9853.86,447900,6718,2079,1829
tiktok,2024-05-11,9981.03,453680,6804,2107,1853
tiktok,2024-05-12,10056.53,457112,6854,2122,1867
tiktok,2024-05-13,10148.1,461274,6917,2142,1884
tiktok,2024-05-14,10269.41,466788,7000,2167,1907
tiktok,2024-05-15,10304.79,468397,7024,2175,1914
tiktok,2024-05-16,10355.44,470699,7059,2186,1923
tiktok,2024-05-17,10487.85,476717,7149,2214,1947
tiktok,2024-05-18,10560.9,480038,7199,2229,1961
tiktok,2024-05-19,10608.63,482207,7231,2239,1969
tiktok,2024-05-20,10648.76,484032,7258,2248,1977
tiktok,2024-05-21,10735.24,487961,7318,2267,1994
